Timestamp,Machine_ID,Operator_ID,Units_Produced,Defective_Units,Production_Time_min
2024-01-15 00:00:00,Machine_1,1006,355,3,20
2024-01-15 00:00:00,Machine_2,1004,54,7,51
2024-01-15 00:00:00,Machine_3,1007,181,1,37
2024-01-15 00:00:00,Machine_4,1008,86,2,57
2024-01-15 00:00:00,Machine_5,1001,182,5,116
2024-01-15 00:00:00,Machine_6,1005,100,6,90
2024-01-15 00:00:00,Machine_7,1003,141,3,97
2024-01-15 00:00:00,Machine_8,1000,431,0,107
2024-01-15 00:00:00,Machine_9,1002,217,0,105
2024-01-15 00:00:00,Machine_10,1009,400,4,21
2024-01-15 01:00:00,Machine_1,1007,439,2,62
2024-01-15 01:00:00,Machine_2,1001,401,8,62
2024-01-15 01:00:00,Machine_3,1004,168,8,19
2024-01-15 01:00:00,Machine_4,1008,156,5,41
2024-01-15 01:00:00,Machine_5,1002,375,4,11
2024-01-15 01:00:00,Machine_6,1009,165,6,69
2024-01-15 01:00:00,Machine_7,1005,212,4,111
2024-01-15 01:00:00,Machine_8,1000,217,8,71
2024-01-15 01:00:00,Machine_9,1003,81,5,73
2024-01-15 01:00:00,Machine_10,1006,269,2,110
2024-01-15 02:00:00,Machine_1,1000,318,9,112
2024-01-15 02:00:00,Machine_2,1006,459,3,14
2024-01-15 02:00:00,Machine_3,1008,77,8,35
2024-01-15 02:00:00,Machine_4,1002,253,8,111
2024-01-15 02:00:00,Machine_5,1009,457,8,51
2024-01-15 02:00:00,Machine_6,1007,99,4,101
2024-01-15 02:00:00,Machine_7,1003,490,5,65
2024-01-15 02:00:00,Machine_8,1004,205,0,68
2024-01-15 02:00:00,Machine_9,1001,265,4,36
2024-01-15 02:00:00,Machine_10,1005,186,2,42
2024-01-15 03:00:00,Machine_1,1002,489,9,51
2024-01-15 03:00:00,Machine_2,1004,164,0,62
2024-01-15 03:00:00,Machine_3,1003,169,2,16
2024-01-15 03:00:00,Machine_4,1000,298,7,96
2024-01-15 03:00:00,Machine_5,1006,479,8,105
2024-01-15 03:00:00,Machine_6,1009,265,5,63
2024-01-15 03:00:00,Machine_7,1005,217,6,33
2024-01-15 03:00:00,Machine_8,1008,291,4,56
2024-01-15 03:00:00,Machine_9,1001,76,3,74
2024-01-15 03:00:00,Machine_10,1007,384,1,105
2024-01-15 04:00:00,Machine_1,1001,88,8,53
2024-01-15 04:00:00,Machine_2,1002,477,2,55
2024-01-15 04:00:00,Machine_3,1008,169,1,74
2024-01-15 04:00:00,Machine_4,1007,122,2,67
2024-01-15 04:00:00,Machine_5,1006,128,5,17
2024-01-15 04:00:00,Machine_6,1003,242,8,40
2024-01-15 04:00:00,Machine_7,1005,146,5,101
2024-01-15 04:00:00,Machine_8,1000,173,4,23
2024-01-15 04:00:00,Machine_9,1009,202,2,21
2024-01-15 04:00:00,Machine_10,1004,292,7,78
2024-01-15 05:00:00,Machine_1,1006,411,1,33
2024-01-15 05:00:00,Machine_2,1009,93,7,57
2024-01-15 05:00:00,Machine_3,1005,184,8,50
2024-01-15 05:00:00,Machine_4,1004,390,7,37
2024-01-15 05:00:00,Machine_5,1000,284,8,79
2024-01-15 05:00:00,Machine_6,1007,78,5,19
2024-01-15 05:00:00,Machine_7,1008,153,8,90
2024-01-15 05:00:00,Machine_8,1001,493,9,46
2024-01-15 05:00:00,Machine_9,1003,93,7,40
2024-01-15 05:00:00,Machine_10,1002,205,4,57
2024-01-15 06:00:00,Machine_1,1002,378,9,25
2024-01-15 06:00:00,Machine_2,1006,444,5,120
2024-01-15 06:00:00,Machine_3,1001,92,8,56
2024-01-15 06:00:00,Machine_4,1003,193,7,97
2024-01-15 06:00:00,Machine_5,1004,309,4,92
2024-01-15 06:00:00,Machine_6,1007,132,2,18
2024-01-15 06:00:00,Machine_7,1009,91,2,95
2024-01-15 06:00:00,Machine_8,1008,93,3,38
2024-01-15 06:00:00,Machine_9,1000,155,4,23
2024-01-15 06:00:00,Machine_10,1005,338,0,63
2024-01-15 07:00:00,Machine_1,1006,72,6,80
2024-01-15 07:00:00,Machine_2,1001,379,6,80
2024-01-15 07:00:00,Machine_3,1004,317,6,47
2024-01-15 07:00:00,Machine_4,1003,331,1,59
2024-01-15 07:00:00,Machine_5,1002,332,1,62
2024-01-15 07:00:00,Machine_6,1009,392,2,50
2024-01-15 07:00:00,Machine_7,1005,407,8,99
2024-01-15 07:00:00,Machine_8,1008,307,3,91
2024-01-15 07:00:00,Machine_9,1000,351,7,50
2024-01-15 07:00:00,Machine_10,1007,487,5,76
2024-01-15 08:00:00,Machine_1,1005,52,4,120
2024-01-15 08:00:00,Machine_2,1000,212,1,59
2024-01-15 08:00:00,Machine_3,1009,329,7,42
2024-01-15 08:00:00,Machine_4,1003,364,9,111
2024-01-15 08:00:00,Machine_5,1002,166,0,14
2024-01-15 08:00:00,Machine_6,1007,306,8,55
2024-01-15 08:00:00,Machine_7,1001,237,1,103
2024-01-15 08:00:00,Machine_8,1004,362,3,33
2024-01-15 08:00:00,Machine_9,1006,303,4,33
2024-01-15 08:00:00,Machine_10,1008,356,2,93
2024-01-15 09:00:00,Machine_1,1006,264,4,115
2024-01-15 09:00:00,Machine_2,1007,131,4,62
2024-01-15 09:00:00,Machine_3,1001,424,7,105
2024-01-15 09:00:00,Machine_4,1009,417,2,37
2024-01-15 09:00:00,Machine_5,1008,54,3,20
2024-01-15 09:00:00,Machine_6,1004,477,1,107
2024-01-15 09:00:00,Machine_7,1002,272,4,51
2024-01-15 09:00:00,Machine_8,1003,52,6,108
2024-01-15 09:00:00,Machine_9,1000,465,6,23
2024-01-15 09:00:00,Machine_10,1005,189,1,94
2024-01-15 10:00:00,Machine_1,1006,383,9,47
2024-01-15 10:00:00,Machine_2,1008,50,3,110
2024-01-15 10:00:00,Machine_3,1005,463,5,109
